motor,,
----------------,,
line no, motor a, motor b
247,0.048,-0.048
248,0.036,-0.036
249,0.024,-0.024
250,0.012,-0.012
251,2.53E-14,-2.53E-14
252,-0.012,0.012
253,-0.024,0.024
254,-0.036,0.036
255,-0.048,0.048
256,-0.06,0.06
257,-0.072,0.072
258,-0.084,0.084
259,-0.096,0.096
260,-0.108,0.108
261,-0.12,0.12
262,-0.132,0.132
263,-0.144,0.144
264,-0.156,0.156
265,-0.168,0.168
266,-0.18,0.18
267,-0.192,0.192
268,-0.204,0.204
269,-0.216,0.216
270,-0.228,0.228
271,-0.24,0.24
272,-0.252,0.252
273,-0.264,0.264
274,-0.276,0.276
275,-0.288,0.288
276,-0.3,0.3
277,-0.312,0.312
278,-0.324,0.324
279,-0.336,0.336
280,-0.348,0.348
281,-0.36,0.36
282,-0.372,0.372
283,-0.384,0.384
284,-0.396,0.396
285,-0.408,0.408
286,-0.42,0.42
287,-0.432,0.432
288,-0.444,0.444
289,-0.456,0.456
290,-0.468,0.468
291,-0.48,0.48
292,-0.492,0.492
293,-0.504,0.504
294,-0.516,0.516
295,-0.528,0.528
296,-0.54,0.54
297,-0.552,0.552
298,-0.564,0.564
299,-0.576,0.576
300,-0.588,0.588
301,-0.6,0.6
302,-0.612,0.612
303,-0.624,0.624
304,-0.636,0.636
305,-0.648,0.648
306,-0.66,0.66
307,-0.672,0.672
308,-0.684,0.684
309,-0.696,0.696
310,-0.708,0.708
311,-0.72,0.72
312,-0.732,0.732
313,-0.744,0.744
314,-0.756,0.756
315,-0.768,0.768
316,-0.78,0.78
317,-0.792,0.792
318,-0.804,0.804
319,-0.816,0.816
320,-0.828,0.828
321,-0.84,0.84
322,-0.852,0.852
323,-0.864,0.864
324,-0.876,0.876
325,-0.888,0.888
326,-0.9,0.9
327,-0.912,0.912
328,-0.924,0.924
329,-0.936,0.936
330,-0.948,0.948
331,-0.96,0.96
332,-0.972,0.972
333,-0.984,0.984
334,-0.996,0.996
335,-1,1
336,-1,1
337,-1,1
338,-1,1
339,-1,1
340,-1,1
341,-1,1
342,-1,1
343,-1,1
344,-1,1
345,-1,1
346,-1,1
347,-1,1
348,-1,1
349,-1,1
350,-1,1
351,-1,1
352,-1,1
353,-1,1
354,-1,1
355,-1,1
356,-1,1
357,-1,1
358,-1,1
359,-1,1
360,-1,1
361,-1,1
362,-1,1
363,-1,1
364,-1,1
365,-1,1
366,-1,1
367,-1,1
368,-1,1
369,-1,1
370,-1,1
371,-1,1
372,-1,1
373,-1,1
374,-1,1
375,-1,1
376,-1,1
377,-1,1
378,-1,1
379,-1,1
380,-1,1
381,-1,1
382,-1,1
383,-1,1
384,-1,1
385,-1,1
386,-1,1
387,-1,1
388,-1,1
389,-1,1
390,-1,1
391,-1,1
392,-1,1
393,-1,1
394,-1,1
395,-1,1
396,-1,1
397,-1,1
398,-1,1
399,-1,1
400,-1,1
401,-1,1
402,-1,1
403,-1,1
404,-1,1
405,-1,1
406,-1,1
407,-1,1
408,-1,1
409,-1,1
410,-1,1
411,-1,1
412,-1,1
413,-1,1
414,-1,1
415,-1,1
416,-1,1
417,-1,1
418,-1,1
419,-1,1
420,-1,1
421,-1,1
422,-1,1
423,-1,1
424,-1,1
425,-1,1
426,-1,1
427,-1,1
428,-1,1
429,-1,1
430,-1,1
431,-1,1
432,-1,1
433,-1,1
434,-1,1
435,-1,1
436,-1,1
437,-1,1
438,-1,1
439,-1,1
440,-1,1
441,-1,1
442,-1,1
443,-1,1
444,-1,1
445,-1,1
446,-1,1
447,-1,1
448,-1,1
449,-1,1
450,-1,1
451,-1,1
452,-1,1
453,-1,1
454,-1,1
455,-1,1
456,-1,1
457,-1,1
458,-1,1
459,-1,1
460,-1,1
461,-1,1
462,-1,1
463,-1,1
464,-1,1
465,-1,1
466,-1,1
467,-1,1
468,-1,1
469,-1,1
470,-1,1
471,-1,1
472,-1,1
473,-1,1
474,-1,1
475,-1,1
476,-1,1
477,-1,1
478,-1,1
479,-1,1
480,-1,1
481,-1,1
482,-1,1
483,-1,1
484,-1,1
485,-1,1
486,-1,1
487,-1,1
488,-1,1
489,-1,1
490,-1,1
491,-1,1
492,-1,1
493,-1,1
494,-1,1
495,-1,1
496,-1,1
497,-1,1
498,-1,1
499,-1,1
500,-1,1
501,-1,1
502,-1,1
503,-1,1
504,-1,1
505,-1,1
506,-1,1
507,-1,1
508,-1,1
509,-1,1
510,-1,1
511,-1,1
512,-1,1
513,-1,1
514,-1,1
515,-1,1
516,-1,1
517,-1,1
518,-1,1
519,-1,1
520,-1,1
521,-1,1
522,-1,1
523,-1,1
524,-1,1
525,-1,1
526,-1,1
527,-1,1
528,-1,1
529,-1,1
530,-1,1
531,-1,1
532,-1,1
533,-1,1
534,-1,1
535,-1,1
536,-1,1
537,-1,1
538,-1,1
539,-1,1
540,-1,1
541,-1,1
542,-1,1
543,-1,1
544,-1,1
545,-1,1
546,-1,1
547,-1,1
548,-1,1
549,-1,1
550,-1,1
551,-1,1
552,-1,1
553,-1,1
554,-1,1
555,-1,1
556,-1,1
557,-1,1
558,-1,1
559,-1,1
560,-1,1
561,-1,1
562,-1,1
563,-1,1
564,-1,1
565,-1,1
566,-1,1
567,-1,1
568,-1,1
569,-1,1
570,-1,1
571,-1,1
572,-1,1
573,-1,1
574,-1,1
575,-1,1
576,-1,1
577,-1,1
578,-1,1
579,-1,1
580,-1,1
581,-1,1
582,-1,1
583,-1,1
584,-1,1
585,-1,1
586,-1,1
587,-1,1
588,-1,1
589,-1,1
590,-1,1
591,-1,1
592,-1,1
593,-1,1
594,-1,1
595,-1,1
596,-1,1
597,-1,1
598,-1,1
599,-1,1
600,-1,1
601,-1,1
602,-1,1
603,-1,1
604,-1,1
605,-1,1
606,-1,1
607,-1,1
608,-1,1
609,-1,1
610,-1,1
611,-1,1
612,-1,1
613,-1,1
614,-1,1
615,-1,1
616,-1,1
617,-1,1
618,-1,1
619,-1,1
620,-1,1
621,-1,1
622,-1,1
623,-1,1
624,-1,1
625,-1,1
626,-1,1
627,-1,1
628,-1,1
629,-1,1
630,-1,1
631,-1,1
632,-1,1
633,-1,1
634,-1,1
635,-1,1
636,-1,1
637,-1,1
638,-1,1
639,-1,1
640,-1,1
641,-1,1
642,-1,1
643,-1,1
644,-1,1
645,-1,1
646,-1,1
647,-1,1
648,-1,1
649,-1,1
650,-1,1
651,-1,1
652,-1,1
653,-1,1
654,-1,1
655,-1,1
656,-1,1
657,-1,1
658,-1,1
659,-1,1
660,-1,1
661,-1,1
662,-1,1
663,-1,1
664,-1,1
665,-1,1
666,-1,1
667,-1,1
668,-0.996,0.996
669,-0.984,0.984
670,-0.972,0.972
671,-0.96,0.96
672,-0.948,0.948
673,-0.936,0.936
674,-0.924,0.924
675,-0.912,0.912
676,-0.9,0.9
677,-0.888,0.888
678,-0.876,0.876
679,-0.864,0.864
680,-0.852,0.852
681,-0.84,0.84
682,-0.828,0.828
683,-0.816,0.816
684,-0.804,0.804
685,-0.792,0.792
686,-0.78,0.78
687,-0.768,0.768
688,-0.756,0.756
689,-0.744,0.744
690,-0.732,0.732
691,-0.72,0.72
692,-0.708,0.708
693,-0.696,0.696
694,-0.684,0.684
695,-0.672,0.672
696,-0.66,0.66
697,-0.648,0.648
698,-0.636,0.636
699,-0.624,0.624
700,-0.612,0.612
701,-0.6,0.6
702,-0.588,0.588
703,-0.576,0.576
704,-0.564,0.564
705,-0.552,0.552
706,-0.54,0.54
707,-0.528,0.528
708,-0.516,0.516
709,-0.504,0.504
710,-0.492,0.492
711,-0.48,0.48
712,-0.468,0.468
713,-0.456,0.456
714,-0.444,0.444
715,-0.432,0.432
716,-0.42,0.42
717,-0.408,0.408
718,-0.396,0.396
719,-0.384,0.384
720,-0.372,0.372
721,-0.36,0.36
722,-0.348,0.348
723,-0.336,0.336
724,-0.324,0.324
725,-0.312,0.312
726,-0.3,0.3
727,-0.288,0.288
728,-0.276,0.276
729,-0.264,0.264
730,-0.252,0.252
731,-0.24,0.24
732,-0.228,0.228
733,-0.216,0.216
734,-0.204,0.204
735,-0.192,0.192
736,-0.18,0.18
737,-0.168,0.168
738,-0.156,0.156
739,-0.144,0.144
740,-0.132,0.132
741,-0.12,0.12
742,-0.108,0.108
743,-0.096,0.096
744,-0.084,0.084
745,-0.072,0.072
746,-0.06,0.06
747,-0.048,0.048
748,-0.036,0.036
749,-0.024,0.024
750,-0.012,0.012
751,2.66E-15,-2.66E-15
752,0.012,-0.012
753,0.024,-0.024
754,0.036,-0.036
755,0.048,-0.048
756,0.06,-0.06
757,0.072,-0.072
758,0.084,-0.084
759,0.096,-0.096
760,0.108,-0.108
761,0.12,-0.12
762,0.132,-0.132
763,0.144,-0.144
764,0.156,-0.156
765,0.168,-0.168
766,0.18,-0.18
767,0.192,-0.192
768,0.204,-0.204
769,0.216,-0.216
770,0.228,-0.228
771,0.24,-0.24
772,0.252,-0.252
773,0.264,-0.264
774,0.276,-0.276
775,0.288,-0.288
776,0.3,-0.3
777,0.312,-0.312
778,0.324,-0.324
779,0.336,-0.336
780,0.348,-0.348
781,0.36,-0.36
782,0.372,-0.372
783,0.384,-0.384
784,0.396,-0.396
785,0.408,-0.408
786,0.42,-0.42
787,0.432,-0.432
788,0.444,-0.444
789,0.456,-0.456
790,0.468,-0.468
791,0.48,-0.48
792,0.492,-0.492
793,0.504,-0.504
794,0.516,-0.516
795,0.528,-0.528
796,0.54,-0.54
797,0.552,-0.552
798,0.564,-0.564
799,0.576,-0.576
800,0.588,-0.588
801,0.6,-0.6
802,0.612,-0.612
803,0.624,-0.624
804,0.636,-0.636
805,0.648,-0.648
806,0.66,-0.66
807,0.672,-0.672
808,0.684,-0.684
809,0.696,-0.696
810,0.708,-0.708
811,0.72,-0.72
812,0.732,-0.732
813,0.744,-0.744
814,0.756,-0.756
815,0.768,-0.768
816,0.78,-0.78
817,0.792,-0.792
818,0.804,-0.804
819,0.816,-0.816
820,0.828,-0.828
821,0.84,-0.84
822,0.852,-0.852
823,0.864,-0.864
824,0.876,-0.876
825,0.888,-0.888
826,0.9,-0.9
827,0.912,-0.912
828,0.924,-0.924
829,0.936,-0.936
830,0.948,-0.948
831,0.96,-0.96
832,0.972,-0.972
833,0.984,-0.984
834,0.996,-0.996
835,1,-1
836,1,-1
837,1,-1
838,1,-1
839,1,-1
840,1,-1
841,1,-1
842,1,-1
843,1,-1
844,1,-1
845,1,-1
846,1,-1
847,1,-1
848,1,-1
849,1,-1
850,1,-1
851,1,-1
852,1,-1
853,1,-1
854,1,-1
855,1,-1
856,1,-1
857,1,-1
858,1,-1
859,1,-1
860,1,-1
861,1,-1
862,1,-1
863,1,-1
864,1,-1
865,1,-1
866,1,-1
867,1,-1
868,1,-1
869,1,-1
870,1,-1
871,1,-1
872,1,-1
873,1,-1
874,1,-1
875,1,-1
876,1,-1
877,1,-1
878,1,-1
879,1,-1
880,1,-1
881,1,-1
882,1,-1
883,1,-1
884,1,-1
885,1,-1
886,1,-1
887,1,-1
888,1,-1
889,1,-1
890,1,-1
891,1,-1
892,1,-1
893,1,-1
894,1,-1
895,1,-1
896,1,-1
897,1,-1
898,1,-1
899,1,-1
900,1,-1
901,1,-1
902,1,-1
903,1,-1
904,1,-1
905,1,-1
906,1,-1
907,1,-1
908,1,-1
909,1,-1
910,1,-1
911,1,-1
912,1,-1
913,1,-1
914,1,-1
915,1,-1
916,1,-1
917,1,-1
918,1,-1
919,1,-1
920,1,-1
921,1,-1
922,1,-1
923,1,-1
924,1,-1
925,1,-1
926,1,-1
927,1,-1
928,1,-1
929,1,-1
930,1,-1
931,1,-1
932,1,-1
933,1,-1
934,1,-1
935,1,-1
936,1,-1
937,1,-1
938,1,-1
939,1,-1
940,1,-1
941,1,-1
942,1,-1
943,1,-1
944,1,-1
945,1,-1
946,1,-1
947,1,-1
948,1,-1
949,1,-1
950,1,-1
951,1,-1
952,1,-1
953,1,-1
954,1,-1
955,1,-1
956,1,-1
957,1,-1
958,1,-1
959,1,-1
960,1,-1
961,1,-1
962,1,-1
963,1,-1
964,1,-1
965,1,-1
966,1,-1
967,1,-1
968,1,-1
969,1,-1
970,1,-1
971,1,-1
972,1,-1
973,1,-1
974,1,-1
975,1,-1
976,1,-1
977,1,-1
978,1,-1
979,1,-1
980,1,-1
981,1,-1
982,1,-1
983,1,-1
984,1,-1
985,1,-1
986,1,-1
987,1,-1
988,1,-1
989,1,-1
990,1,-1
991,1,-1
992,1,-1
993,1,-1
994,1,-1
995,1,-1
996,1,-1
997,1,-1
998,1,-1
999,1,-1
1000,1,-1
1001,1,-1
1002,1,-1
1003,1,-1
1004,1,-1
1005,1,-1
1006,1,-1
1007,1,-1
1008,1,-1
1009,1,-1
1010,1,-1
1011,1,-1
1012,1,-1
1013,1,-1
1014,1,-1
1015,1,-1
1016,1,-1
1017,1,-1
1018,1,-1
1019,1,-1
1020,1,-1
1021,1,-1
1022,1,-1
1023,1,-1
1024,1,-1
1025,1,-1
1026,1,-1
1027,1,-1
1028,1,-1
1029,1,-1
1030,1,-1
1031,1,-1
1032,1,-1
1033,1,-1
1034,1,-1
1035,1,-1
1036,1,-1
1037,1,-1
1038,1,-1
1039,1,-1
1040,1,-1
1041,1,-1
1042,1,-1
1043,1,-1
1044,1,-1
1045,1,-1
1046,1,-1
1047,1,-1
1048,1,-1
1049,1,-1
1050,1,-1
1051,1,-1
1052,1,-1
1053,1,-1
1054,1,-1
1055,1,-1
1056,1,-1
1057,1,-1
1058,1,-1
1059,1,-1
1060,1,-1
1061,1,-1
1062,1,-1
1063,1,-1
1064,1,-1
1065,1,-1
1066,1,-1
1067,1,-1
1068,1,-1
1069,1,-1
1070,1,-1
1071,1,-1
1072,1,-1
1073,1,-1
1074,1,-1
1075,1,-1
1076,1,-1
1077,1,-1
1078,1,-1
1079,1,-1
1080,1,-1
1081,1,-1
1082,1,-1
1083,1,-1
1084,1,-1
1085,1,-1
1086,1,-1
1087,1,-1
1088,1,-1
1089,1,-1
1090,1,-1
1091,1,-1
1092,1,-1
1093,1,-1
1094,1,-1
1095,1,-1
1096,1,-1
1097,1,-1
1098,1,-1
1099,1,-1
1100,1,-1
1101,1,-1
1102,1,-1
1103,1,-1
1104,1,-1
1105,1,-1
1106,1,-1
1107,1,-1
1108,1,-1
1109,1,-1
1110,1,-1
1111,1,-1
1112,1,-1
1113,1,-1
1114,1,-1
1115,1,-1
1116,1,-1
1117,1,-1
1118,1,-1
1119,1,-1
1120,1,-1
1121,1,-1
1122,1,-1
1123,1,-1
1124,1,-1
1125,1,-1
1126,1,-1
1127,1,-1
1128,1,-1
1129,1,-1
1130,1,-1
1131,1,-1
1132,1,-1
1133,1,-1
1134,1,-1
1135,1,-1
1136,1,-1
1137,1,-1
1138,1,-1
1139,1,-1
1140,1,-1
1141,1,-1
1142,1,-1
1143,1,-1
1144,1,-1
1145,1,-1
1146,1,-1
1147,1,-1
1148,1,-1
1149,1,-1
1150,1,-1
1151,1,-1
1152,1,-1
1153,1,-1
1154,1,-1
1155,1,-1
1156,1,-1
1157,1,-1
1158,1,-1
1159,1,-1
1160,1,-1
1161,1,-1
1162,1,-1
1163,1,-1
1164,1,-1
1165,1,-1
1166,1,-1
1167,1,-1
1168,0.996,-0.996
1169,0.984,-0.984
1170,0.972,-0.972
1171,0.96,-0.96
1172,0.948,-0.948
1173,0.936,-0.936
1174,0.924,-0.924
1175,0.912,-0.912
1176,0.9,-0.9
1177,0.888,-0.888
1178,0.876,-0.876
1179,0.864,-0.864
1180,0.852,-0.852
1181,0.84,-0.84
1182,0.828,-0.828
1183,0.816,-0.816
1184,0.804,-0.804
1185,0.792,-0.792
1186,0.78,-0.78
1187,0.768,-0.768
1188,0.756,-0.756
1189,0.744,-0.744
1190,0.732,-0.732
1191,0.72,-0.72
1192,0.708,-0.708
1193,0.696,-0.696
1194,0.684,-0.684
1195,0.672,-0.672
1196,0.66,-0.66
1197,0.648,-0.648
1198,0.636,-0.636
1199,0.624,-0.624
1200,0.612,-0.612
1201,0.6,-0.6
1202,0.588,-0.588
1203,0.576,-0.576
1204,0.564,-0.564
1205,0.552,-0.552
1206,0.54,-0.54
1207,0.528,-0.528
1208,0.516,-0.516
1209,0.504,-0.504
1210,0.492,-0.492
1211,0.48,-0.48
1212,0.468,-0.468
1213,0.456,-0.456
1214,0.444,-0.444
1215,0.432,-0.432
1216,0.42,-0.42
1217,0.408,-0.408
1218,0.396,-0.396
1219,0.384,-0.384
1220,0.372,-0.372
1221,0.36,-0.36
1222,0.348,-0.348
1223,0.336,-0.336
1224,0.324,-0.324
1225,0.312,-0.312
1226,0.3,-0.3
1227,0.288,-0.288
1228,0.276,-0.276
1229,0.264,-0.264
1230,0.252,-0.252
1231,0.24,-0.24
1232,0.228,-0.228
1233,0.216,-0.216
1234,0.204,-0.204
1235,0.192,-0.192
1236,0.18,-0.18
1237,0.168,-0.168
1238,0.156,-0.156
1239,0.144,-0.144
1240,0.132,-0.132
1241,0.12,-0.12
1242,0.108,-0.108
1243,0.096,-0.096
1244,0.084,-0.084
1245,0.072,-0.072
1246,0.06,-0.06
1247,0.048,-0.048
1248,0.036,-0.036
1249,0.024,-0.024
1250,0.012,-0.012
1251,-3.46E-14,3.46E-14
1252,-0.012,0.012
1253,-0.024,0.024
1254,-0.036,0.036
1255,-0.048,0.048
1256,-0.06,0.06
1257,-0.072,0.072
1258,-0.084,0.084
1259,-0.096,0.096
1260,-0.108,0.108
1261,-0.12,0.12
1262,-0.132,0.132
1263,-0.144,0.144
1264,-0.156,0.156
1265,-0.168,0.168
1266,-0.18,0.18
1267,-0.192,0.192
1268,-0.204,0.204
1269,-0.216,0.216
1270,-0.228,0.228
1271,-0.24,0.24
1272,-0.252,0.252
1273,-0.264,0.264
1274,-0.276,0.276
1275,-0.288,0.288
1276,-0.3,0.3
1277,-0.312,0.312
1278,-0.324,0.324
1279,-0.336,0.336
1280,-0.348,0.348
1281,-0.36,0.36
1282,-0.372,0.372
1283,-0.384,0.384
1284,-0.396,0.396
1285,-0.408,0.408
1286,-0.42,0.42
1287,-0.432,0.432
1288,-0.444,0.444
1289,-0.456,0.456
1290,-0.468,0.468
1291,-0.48,0.48
1292,-0.492,0.492
1293,-0.504,0.504
1294,-0.516,0.516
1295,-0.528,0.528
1296,-0.54,0.54
1297,-0.552,0.552
1298,-0.564,0.564
1299,-0.576,0.576
1300,-0.588,0.588
1301,-0.6,0.6
1302,-0.612,0.612
1303,-0.624,0.624
1304,-0.636,0.636
1305,-0.648,0.648
1306,-0.66,0.66
1307,-0.672,0.672
1308,-0.684,0.684
1309,-0.696,0.696
1310,-0.708,0.708
1311,-0.72,0.72
1312,-0.732,0.732
1313,-0.744,0.744
1314,-0.756,0.756
1315,-0.768,0.768
1316,-0.78,0.78
1317,-0.792,0.792
1318,-0.804,0.804
1319,-0.816,0.816
1320,-0.828,0.828
1321,-0.84,0.84
1322,-0.852,0.852
1323,-0.864,0.864
1324,-0.876,0.876
1325,-0.888,0.888
1326,-0.9,0.9
1327,-0.912,0.912
1328,-0.924,0.924
1329,-0.936,0.936
1330,-0.948,0.948
1331,-0.96,0.96
1332,-0.972,0.972
1333,-0.984,0.984
1334,-0.996,0.996
1335,-1,1
1336,-1,1
1337,-1,1
1338,-1,1
1339,-1,1
1340,-1,1
1341,-1,1
1342,-1,1
1343,-1,1
1344,-1,1
1345,-1,1
1346,-1,1
1347,-1,1
1348,-1,1
1349,-1,1
1350,-1,1
1351,-1,1
1352,-1,1
1353,-1,1
1354,-1,1
1355,-1,1
1356,-1,1
1357,-1,1
1358,-1,1
1359,-1,1
1360,-1,1
1361,-1,1
1362,-1,1
1363,-1,1
1364,-1,1
1365,-1,1
1366,-1,1
1367,-1,1
1368,-1,1
1369,-1,1
1370,-1,1
1371,-1,1
1372,-1,1
1373,-1,1
1374,-1,1
1375,-1,1
1376,-1,1
1377,-1,1
1378,-1,1
1379,-1,1
1380,-1,1
1381,-1,1
1382,-1,1
1383,-1,1
1384,-1,1
1385,-1,1
1386,-1,1
1387,-1,1
1388,-1,1
1389,-1,1
1390,-1,1
1391,-1,1
1392,-1,1
1393,-1,1
1394,-1,1
1395,-1,1
1396,-1,1
1397,-1,1
1398,-1,1
1399,-1,1
1400,-1,1
1401,-1,1
1402,-1,1
1403,-1,1
1404,-1,1
1405,-1,1
1406,-1,1
1407,-1,1
1408,-1,1
1409,-1,1
1410,-1,1
1411,-1,1
1412,-1,1
1413,-1,1
1414,-1,1
1415,-1,1
1416,-1,1
1417,-1,1
1418,-1,1
1419,-1,1
1420,-1,1
1421,-1,1
1422,-1,1
1423,-1,1
1424,-1,1
1425,-1,1
1426,-1,1
1427,-1,1
1428,-1,1
1429,-1,1
1430,-1,1
1431,-1,1
1432,-1,1
1433,-1,1
1434,-1,1
1435,-1,1
1436,-1,1
1437,-1,1
1438,-1,1
1439,-1,1
1440,-1,1
1441,-1,1
1442,-1,1
1443,-1,1
1444,-1,1
1445,-1,1
1446,-1,1
1447,-1,1
1448,-1,1
1449,-1,1
1450,-1,1
1451,-1,1
1452,-1,1
1453,-1,1
1454,-1,1
1455,-1,1
1456,-1,1
1457,-1,1
1458,-1,1
1459,-1,1
1460,-1,1
1461,-1,1
1462,-1,1
1463,-1,1
1464,-1,1
1465,-1,1
1466,-1,1
1467,-1,1
1468,-1,1
1469,-1,1
1470,-1,1
1471,-1,1
1472,-1,1
1473,-1,1
1474,-1,1
1475,-1,1
1476,-1,1
1477,-1,1
1478,-1,1
1479,-1,1
1480,-1,1
1481,-1,1
1482,-1,1
1483,-1,1
1484,-1,1
1485,-1,1
1486,-1,1
1487,-1,1
1488,-1,1
1489,-1,1
1490,-1,1
1491,-1,1
1492,-1,1
1493,-1,1
1494,-1,1
1495,-1,1
1496,-1,1
1497,-1,1
1498,-1,1
1499,-1,1
1500,-1,1
1501,-1,1
1502,-1,1
1503,-1,1
1504,-1,1
1505,-1,1
1506,-1,1
1507,-1,1
1508,-1,1
1509,-1,1
1510,-1,1
1511,-1,1
1512,-1,1
1513,-1,1
1514,-1,1
1515,-1,1
1516,-1,1
1517,-1,1
1518,-1,1
1519,-1,1
1520,-1,1
1521,-1,1
1522,-1,1
1523,-1,1
1524,-1,1
1525,-1,1
1526,-1,1
1527,-1,1
1528,-1,1
1529,-1,1
1530,-1,1
1531,-1,1
1532,-1,1
1533,-1,1
1534,-1,1
1535,-1,1
1536,-1,1
1537,-1,1
1538,-1,1
1539,-1,1
1540,-1,1
1541,-1,1
1542,-1,1
1543,-1,1
1544,-1,1
1545,-1,1
1546,-1,1
1547,-1,1
1548,-1,1
1549,-1,1
1550,-1,1
1551,-1,1
1552,-1,1
1553,-1,1
1554,-1,1
1555,-1,1
1556,-1,1
1557,-1,1
1558,-1,1
1559,-1,1
1560,-1,1
1561,-1,1
1562,-1,1
1563,-1,1
1564,-1,1
1565,-1,1
1566,-1,1
1567,-1,1
1568,-1,1
1569,-1,1
1570,-1,1
1571,-1,1
1572,-1,1
1573,-1,1
1574,-1,1
1575,-1,1
1576,-1,1
1577,-1,1
1578,-1,1
1579,-1,1
1580,-1,1
1581,-1,1
1582,-1,1
1583,-1,1
1584,-1,1
1585,-1,1
1586,-1,1
1587,-1,1
1588,-1,1
1589,-1,1
1590,-1,1
1591,-1,1
1592,-1,1
1593,-1,1
1594,-1,1
1595,-1,1
1596,-1,1
1597,-1,1
1598,-1,1
1599,-1,1
1600,-1,1
1601,-1,1
1602,-1,1
1603,-1,1
1604,-1,1
1605,-1,1
1606,-1,1
1607,-1,1
1608,-1,1
1609,-1,1
1610,-1,1
1611,-1,1
1612,-1,1
1613,-1,1
1614,-1,1
1615,-1,1
1616,-1,1
